filename,label
Image_1.jpg,golf
Image_2.jpg,roller derby
Image_3.jpg,high jump
Image_4.jpg,bungee jumping
Image_5.jpg,rugby
Image_6.jpg,sumo wrestling
Image_7.jpg,billiards
Image_8.jpg,judo
Image_9.jpg,figure skating pairs
Image_10.jpg,baseball
Image_11.jpg,hockey
Image_12.jpg,fencing
Image_13.jpg,frisbee
Image_14.jpg,snow boarding
Image_15.jpg,cheerleading
Image_16.jpg,hammer throw
Image_17.jpg,jai alai
Image_18.jpg,skydiving
Image_19.jpg,cheerleading
Image_20.jpg,hurdles
Image_21.jpg,chuckwagon racing
Image_22.jpg,canoe slamon
Image_23.jpg,figure skating men
Image_24.jpg,balance beam
Image_25.jpg,steer wrestling
Image_26.jpg,baton twirling
Image_27.jpg,snowmobile racing
Image_28.jpg,luge
Image_29.jpg,swimming
Image_30.jpg,pole vault
Image_31.jpg,boxing
Image_32.jpg,table tennis
Image_33.jpg,sumo wrestling
Image_34.jpg,football
Image_35.jpg,roller derby
Image_36.jpg,track bicycle
Image_37.jpg,nascar racing
Image_38.jpg,hockey
Image_39.jpg,polo
Image_40.jpg,cheerleading
Image_41.jpg,air hockey
Image_42.jpg,hang gliding
Image_43.jpg,weightlifting
Image_44.jpg,chuckwagon racing
Image_45.jpg,parallel bar
Image_46.jpg,baseball
Image_47.jpg,hammer throw
Image_48.jpg,hydroplane racing
Image_49.jpg,horse jumping
Image_50.jpg,tug of war
Image_51.jpg,croquet
Image_52.jpg,canoe slamon
Image_53.jpg,ice yachting
Image_54.jpg,rugby
Image_55.jpg,snowmobile racing
Image_56.jpg,shot put
Image_57.jpg,field hockey
Image_58.jpg,tennis
Image_59.jpg,formula 1 racing
Image_60.jpg,rings
Image_61.jpg,gaga
Image_62.jpg,cricket
Image_63.jpg,formula 1 racing
Image_64.jpg,ice yachting
Image_65.jpg,chuckwagon racing
Image_66.jpg,canoe slamon
Image_67.jpg,horseshoe pitching
Image_68.jpg,snowmobile racing
Image_69.jpg,baseball
Image_70.jpg,archery
Image_71.jpg,football
Image_72.jpg,hammer throw
Image_73.jpg,field hockey
Image_74.jpg,sidecar racing
Image_75.jpg,curling
Image_76.jpg,pole vault
Image_77.jpg,disc golf
Image_78.jpg,bike polo
Image_79.jpg,olympic wrestling
Image_80.jpg,luge
Image_81.jpg,sumo wrestling
Image_82.jpg,baton twirling
Image_83.jpg,frisbee
Image_84.jpg,nascar racing
Image_85.jpg,ski jumping
Image_86.jpg,pole climbing
Image_87.jpg,tug of war
Image_88.jpg,sailboat racing
Image_89.jpg,curling
Image_90.jpg,snowmobile racing
Image_91.jpg,sidecar racing
Image_92.jpg,hockey
Image_93.jpg,mushing
Image_94.jpg,field hockey
Image_95.jpg,arm wrestling
Image_96.jpg,shot put
Image_97.jpg,pole dancing
Image_98.jpg,horse racing
Image_99.jpg,croquet
Image_100.jpg,fencing
Image_101.jpg,baseball
Image_102.jpg,water polo
Image_103.jpg,track bicycle
Image_104.jpg,sumo wrestling
Image_105.jpg,giant slalom
Image_106.jpg,sumo wrestling
Image_107.jpg,cheerleading
Image_108.jpg,roller derby
Image_109.jpg,baton twirling
Image_110.jpg,water cycling
Image_111.jpg,barell racing
Image_112.jpg,uneven bars
Image_113.jpg,wheelchair racing
Image_114.jpg,motorcycle racing
Image_115.jpg,sidecar racing
Image_116.jpg,rock climbing
Image_117.jpg,bobsled
Image_118.jpg,jousting
Image_119.jpg,motorcycle racing
Image_120.jpg,rock climbing
Image_121.jpg,ski jumping
Image_122.jpg,table tennis
Image_123.jpg,snow boarding
Image_124.jpg,figure skating women
Image_125.jpg,hammer throw
Image_126.jpg,cheerleading
Image_127.jpg,javelin
Image_128.jpg,basketball
Image_129.jpg,snowmobile racing
Image_130.jpg,trapeze
Image_131.jpg,fly fishing
Image_132.jpg,skydiving
Image_133.jpg,golf
Image_134.jpg,archery
Image_135.jpg,skydiving
Image_136.jpg,log rolling
Image_137.jpg,giant slalom
Image_138.jpg,hockey
Image_139.jpg,sidecar racing
Image_140.jpg,motorcycle racing
Image_141.jpg,jai alai
Image_142.jpg,ultimate
Image_143.jpg,roller derby
Image_144.jpg,bowling
Image_145.jpg,rings
Image_146.jpg,trapeze
Image_147.jpg,volleyball
Image_148.jpg,rugby
Image_149.jpg,ampute football
Image_150.jpg,figure skating women
Image_151.jpg,rowing
Image_152.jpg,rollerblade racing
Image_153.jpg,water polo
Image_154.jpg,volleyball
Image_155.jpg,baseball
Image_156.jpg,horseshoe pitching
Image_157.jpg,harness racing
Image_158.jpg,disc golf
